opp_id,naics,sow_text,due_date
1000,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2025-09-01
1001,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2025-09-04
1002,541512,Complex multi-vendor environment; heavy coordination.,2025-09-07
1003,541513,Clear SOW with detailed scope and deliverables.,2025-09-10
1004,541511,Clear SOW with detailed scope and deliverables.,2025-09-13
1005,541513,Clear SOW with detailed scope and deliverables.,2025-09-16
1006,541513,Clear SOW with detailed scope and deliverables.,2025-09-19
1007,541512,Complex multi-vendor environment; heavy coordination.,2025-09-22
1008,541513,Complex multi-vendor environment; heavy coordination.,2025-09-25
1009,541512,Clear SOW with detailed scope and deliverables.,2025-09-28
1010,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2025-10-01
1011,541513,Clear SOW with detailed scope and deliverables.,2025-10-04
1012,541511,Clear SOW with detailed scope and deliverables.,2025-10-07
1013,541511,Clear SOW with detailed scope and deliverables.,2025-10-10
1014,541512,Clear SOW with detailed scope and deliverables.,2025-10-13
1015,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2025-10-16
1016,541512,Complex multi-vendor environment; heavy coordination.,2025-10-19
1017,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2025-10-22
1018,541511,Complex multi-vendor environment; heavy coordination.,2025-10-25
1019,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2025-10-28
1020,541511,Clear SOW with detailed scope and deliverables.,2025-10-31
1021,541511,Clear SOW with detailed scope and deliverables.,2025-11-03
1022,541513,Clear SOW with detailed scope and deliverables.,2025-11-06
1023,541513,Clear SOW with detailed scope and deliverables.,2025-11-09
1024,541513,Complex multi-vendor environment; heavy coordination.,2025-11-12
1025,541511,Complex multi-vendor environment; heavy coordination.,2025-11-15
1026,541511,Complex multi-vendor environment; heavy coordination.,2025-11-18
1027,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2025-11-21
1028,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2025-11-24
1029,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2025-11-27
1030,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2025-11-30
1031,541511,Complex multi-vendor environment; heavy coordination.,2025-12-03
1032,541513,Complex multi-vendor environment; heavy coordination.,2025-12-06
1033,541511,Complex multi-vendor environment; heavy coordination.,2025-12-09
1034,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2025-12-12
1035,541513,Clear SOW with detailed scope and deliverables.,2025-12-15
1036,541513,Complex multi-vendor environment; heavy coordination.,2025-12-18
1037,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2025-12-21
1038,541512,Complex multi-vendor environment; heavy coordination.,2025-12-24
1039,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2025-12-27
1040,541513,Complex multi-vendor environment; heavy coordination.,2025-12-30
1041,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-01-02
1042,541512,Complex multi-vendor environment; heavy coordination.,2026-01-05
1043,541512,Complex multi-vendor environment; heavy coordination.,2026-01-08
1044,541513,Clear SOW with detailed scope and deliverables.,2026-01-11
1045,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-01-14
1046,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-01-17
1047,541512,Complex multi-vendor environment; heavy coordination.,2026-01-20
1048,541513,Complex multi-vendor environment; heavy coordination.,2026-01-23
1049,541511,Complex multi-vendor environment; heavy coordination.,2026-01-26
1050,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-01-29
1051,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-02-01
1052,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-02-04
1053,541513,Complex multi-vendor environment; heavy coordination.,2026-02-07
1054,541511,Clear SOW with detailed scope and deliverables.,2026-02-10
1055,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-02-13
1056,541512,Clear SOW with detailed scope and deliverables.,2026-02-16
1057,541513,Complex multi-vendor environment; heavy coordination.,2026-02-19
1058,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-02-22
1059,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-02-25
1060,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-02-28
1061,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-03-03
1062,541511,Complex multi-vendor environment; heavy coordination.,2026-03-06
1063,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-03-09
1064,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-03-12
1065,541512,Clear SOW with detailed scope and deliverables.,2026-03-15
1066,541513,Clear SOW with detailed scope and deliverables.,2026-03-18
1067,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-03-21
1068,541512,Complex multi-vendor environment; heavy coordination.,2026-03-24
1069,541511,Complex multi-vendor environment; heavy coordination.,2026-03-27
1070,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-03-30
1071,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-04-02
1072,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-04-05
1073,541512,Clear SOW with detailed scope and deliverables.,2026-04-08
1074,541512,Clear SOW with detailed scope and deliverables.,2026-04-11
1075,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-04-14
1076,541513,Clear SOW with detailed scope and deliverables.,2026-04-17
1077,541511,Clear SOW with detailed scope and deliverables.,2026-04-20
1078,541512,Clear SOW with detailed scope and deliverables.,2026-04-23
1079,541513,Clear SOW with detailed scope and deliverables.,2026-04-26
1080,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-04-29
1081,541513,Complex multi-vendor environment; heavy coordination.,2026-05-02
1082,541513,Complex multi-vendor environment; heavy coordination.,2026-05-05
1083,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-05-08
1084,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-05-11
1085,541513,Clear SOW with detailed scope and deliverables.,2026-05-14
1086,541513,Clear SOW with detailed scope and deliverables.,2026-05-17
1087,541513,Ambiguous requirements; integration unclear; TBD interfaces.,2026-05-20
1088,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-05-23
1089,541511,Clear SOW with detailed scope and deliverables.,2026-05-26
1090,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-05-29
1091,541512,Clear SOW with detailed scope and deliverables.,2026-06-01
1092,541513,Clear SOW with detailed scope and deliverables.,2026-06-04
1093,541512,Complex multi-vendor environment; heavy coordination.,2026-06-07
1094,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-06-10
1095,541511,Ambiguous requirements; integration unclear; TBD interfaces.,2026-06-13
1096,541513,Complex multi-vendor environment; heavy coordination.,2026-06-16
1097,541513,Complex multi-vendor environment; heavy coordination.,2026-06-19
1098,541511,Complex multi-vendor environment; heavy coordination.,2026-06-22
1099,541512,Ambiguous requirements; integration unclear; TBD interfaces.,2026-06-25
